CountryCode,PostalCode,Place,State,StateCode,Latitude,Longtitude,AccuracyType
CA,M1B 2V2,Scarborough,Ontario,ON,43.8063,-79.2084,6
CA,M1B 2V3,Scarborough,Ontario,ON,43.7949,-79.2349,6
CA,M1B 2V4,Scarborough,Ontario,ON,43.7956,-79.2353,6
CA,M1B 2V5,Scarborough,Ontario,ON,43.7986,-79.24,6
CA,M1B 2V6,Scarborough,Ontario,ON,43.7993,-79.2069,6
CA,M1B 2V9,Scarborough,Ontario,ON,43.784,-79.2345,6
CA,M1B 2W1,Scarborough,Ontario,ON,43.7903,-79.2373,6
CA,M1B 2W2,Scarborough,Ontario,ON,43.7952,-79.2397,6
CA,M1B 2W3,Scarborough,Ontario,ON,43.8059,-79.242,6
CA,M1B 2W4,Scarborough,Ontario,ON,43.8079,-79.2444,6
CA,M1B 2W5,Scarborough,Ontario,ON,43.8042,-79.1689,6
CA,M1B 2W6,Scarborough,Ontario,ON,43.8043,-79.171,6
CA,M1B 2W7,Scarborough,Ontario,ON,43.8034,-79.1708,6
CA,M1B 2W8,Scarborough,Ontario,ON,43.8016,-79.1749,6
CA,M1B 2W9,Scarborough,Ontario,ON,43.8019,-79.1773,6
CA,M1B 2X1,Scarborough,Ontario,ON,43.7958,-79.2398,6
CA,M1B 2X2,Scarborough,Ontario,ON,43.8018,-79.1736,6
CA,M1B 2X3,Scarborough,Ontario,ON,43.8027,-79.172,6
CA,M1B 2X4,Scarborough,Ontario,ON,43.8105,-79.2383,6
CA,M1B 2X5,Scarborough,Ontario,ON,43.8106,-79.2379,6
CA,M1B 2X6,Scarborough,Ontario,ON,43.8069,-79.2367,6
CA,M1B 2X7,Scarborough,Ontario,ON,43.8087,-79.2378,6
